Text,labels
上海地区疫情管控措施,1
公司坚持科技创新,1
焦炭、焦煤等燃料价格大幅上涨,1
稳步提升公司研发能力及产品交付能力,1
成本上涨,1
汽车行业周期性波动,1
电价上浮,1
公司精益管理已初显成效,1
新能源行业终端需求向好,1
公司财务费用金额一直居高不下,1
控股子公司玉溪煤矿生产经营组织稳步向好,1
营业收入及毛利额均有提升,1
原料价格上涨,1
通信网络业务实现稳定增长,1
部分运营商的供货价格有所提升,1
延期招标,1
产品销售结构的变化,1
公司主产品阴极铜、硫酸价格同比大幅上升,1
新增风电项目投产发电,1
公司生产经营正常,1
产品销售均价比上年同期有所上涨,1
国际原油价格波动,1
完工项目减少,1
公司光伏设备订单实现历史性突破,1
国际物流不畅,1
员工持股计划,1
经营成效进一步显现,1
氢能城市具体的实施细则落地,1
市场需求变化,1
公司实施的降本增效战略举措取得良好成效,1
联营企业耗用锂精矿产出锂盐,1
产能最大化发挥,1
经济下行的压力,1
管理效率得到进一步提升,1
终端市场进入去库存阶段,1
公司应用案例的增加,1
合资公司前期工作开展,1
核酸检测需求增加,1
公司产品毛利率较低,1
提前进行资源储备,1
原材料价格大幅上涨,1
严控成本和费用,1
减少应收账款,1
北美电商业务整体增速下行,1
公司数据运营业务快速发展,1
铝价上涨,1
盈利能力较上年同期明显提升,1
公司规模增长,1
毛利减少,1
合理调配销售策略,1
铁矿石等大宗原燃料价格同比上涨,1
公司盈利能力增强,1
加强内部管理,1
上网电量增长,1
提高市场占有率,1
精益管理,1
运输成本上涨,1
销售毛利率下降,1
提升了运营管理效率,1
中国境内部分港口运转受限,1
内部协作与竞争意识增强,1
多品种拓展和良好的市场基础,1
焦炭等大宗燃料价格大幅上涨,1
公司与客户方结算进度及回款缓慢,1
上网电量增加,1
深耕主业、聚焦行业的业务发展战略,1
整个行业终端市场毛利率水平受到挤压,1
疫情防控期间的开支,1
加大开拓新能源光伏客户的力度,1
增加高附加值产品的销售比重,1
原材料及能源成本上升,1
短期内部分人员无法正常到岗开展工作,1
国家稀土总量控制计划同比增加,1
产品综合毛利率也稳步回升,1
做好成本的控制,1
精细化运营,1
客户启动调价机制,1
产品结构和技术水平的逐步提升,1
国际原油价格整体呈上行趋势,1
大宗原材料价格居高不下,1
公司黄磷产品销售价格同比上涨,1
市场拓展力度,1
公司重整顺利完成,1
政府稳经济一揽子政策措施落地生效,1
公司主营业务实现稳步增长,1
股权激励,1
线控底盘相关的转向系统、刹车系统、空气悬架业务也取得良好发展,1
大为微电子积极开展业务,1
生产装置配套齐全,1
钢材综合售价下滑,1
公司芯卓半导体产业化项目的逐步推进,1
美元兑人民币升值,1
与上下游客户协同建立柔性化合作模式,1
公司主要产品锂盐、铯盐及甲酸铯租售业务生产经营良好,1
增长幅度超过短纤售价的增长幅度,1
产品结构持续优化,1
全球化采购更具优势,1
影院大面积关停,1
汽车行业产品价格年降,1
圣济堂制药格列美脲片被暂停生产和销售,1
国内疫情的不利,1
抓实风险防控,1
新厂区生产效率提升,1
降控财务费用,1
加大国内市场的调运和投放的力度,1
CDMO行业持续保持较高的景气度,1
社会用电量需求增加,1
汽车产业供应链受到较大冲击,1
民爆器材业务营业收入同比去年大幅上升,1
教育、游戏、地产等行业的数字营销业务同比受到较大影响,1
公司与下游客户形成成本分担机制,1
优选高毛利订单,1
公司积极应对市场变化,1
苏州晶银搬迁扩产的产能释放,1
保证业务订单稳定供给,1
优化经营结构,1
云南省电力供应情况逐步好转,1
季节性波动,1
销售价格的下降,1
工程项目施工量减少,1
市场需求下滑,1
没有集中兑现项目,1
公司一季度售电量及售电单价同比升高,1
公司产品销售均价同比上升,1
企业资金回笼仍受限,1
房地产市场持续低迷,1
原材料供应紧张,1
加强“扬杰”和“MCC”双品牌推广,1
变异病毒传播更加隐匿、速度更加迅速、持续时间更长,1
国内外疫情管控,1
回收效率提高,1
烟标项目招标中未继续中标,1
降低贷款规模,1
物流影响出口效率,1
公司营业规模增长,1
俄乌战争带来的恐慌,1
项目实施、验收等工作有序推进,1
云南索通云铝炭材料有限公司一期600kt/a预焙阳极工程顺利投产,1
全国多地新冠肺炎疫情带来的严峻考验,1
数字化管理增效,1
公司所属亚德公司在施项目合同金额较大,1
整合全球物流资源,1
公司持续完善从战略到执行的全面预算管控,1
原材料价格虽然也在下调，但上半年均价仍大幅高于上年同期,1
持续精准投资,1
生产效率大幅提升,1
航天航空类业务订单充足,1
废钢价格亦一定程度的上涨,1
美元、卢布汇率升值,1
控股子公司湖南华升洞庭麻业有限公司停产,1
氨纶市场需求疲软,1
推行降本增效,1
锅炉行业竞争激烈,1
适用于sub-3GHz的接收端模组产品的市场拓展,1
电量增长,1
需求减少,1
公司在深圳市证券交易所成功上市,1
上下游客户协同建立柔性化合作模式,1
公司所属行业发展态势良好,1
净值下跌,1
全球肥料行业景气度较高,1
公司相关战略调整及创新合作落地尚处于攻坚阶段,1
制造费用的增加,1
水电项目资产收购,1
公司主营产品出口加大,1
开展应收账款保理业务,1
8-12英寸抛光片、外延片出货量加速攀升,1
煤炭价格比上年同期大幅上涨,1
出口订单减少,1
加强应收账款管理,1
院线业务的恢复,1
煤炭价格仍处于较高位运行,1
门店无法正常开门营业和部分区域物流中断,1
强化精益管理,1
相关产品外销同比有一定增长,1
公司主要承接的景观照明工程投资需求及规模缩减,1
军需品订单和防疫应急物资订单承揽量同比大幅增加,1
本期平稳运行无重大事项,1
新成立公司处于建设投入期,1
海外客户对公司产品采购意向持续增强,1
理顺经营机制,1
结算回款进度延后,1
盈利能力同比增幅较大,1
原材料成本上升,1
停工停产损失,1
加强经营管理,1
成本反应存在一定滞后性,1
已售商品房本期达到确认收入条件的比例较小,1
阶段性暂停产品交付,1
租金减免的决策部署,1
公司商业不动产出租稳定,1
BDO等主要化工原材料价格上涨,1
国五切换成国六的排放法规升级,1
无法及时办理项目决算,1
公司订单减少,1
公司六氟磷酸锂生产装置继续保持满负荷生产,1
收入和毛利增长,1
公司产品销售数量增加,1
下游房地产行业调整,1
新增产能协同发力,1
公司积极开拓太阳能光伏组件市场,1
公司订单有所下滑,1
公司投资的部分有线电视合营、联营公司亏损,1
主营业务成本上升,1
国资委“两金”压降工作要求,1
毛利持续上升,1
轻松竖版3D手游,1
下游需求不断增加,1
收到各类政府补贴,1
实体收入增速较快,1
国家在特殊应用领域的投入大幅增加,1
锂盐产品销量逐步提升,1
安全生产,1
下游行业景气度较高,1
调整优化产品结构,1
推进相关工作,1
新能源汽车行业需求增长,1
新增员工人数较多,1
积极降本增效,1
减员提效,1
市场需求持续萎缩,1
欧美地区成品油炼能紧张,1
物流成本提升,1
管理资产规模持续增长,1
产品销售结构及市场竞争格局的变化,1
大宗原料、能源价格上涨,1
公司油气产量同比有所增长,1
原辅材料采购成本同比上年同期上涨较多,1
钢铁原料价格高位运行,1
公司转让部分电站股权,1
商用车产量同比大幅下滑,1
盈利能力提高,1
人员结构进行了优化调整,1
物流运输受阻,1
加强项目交付管理,1
公司产品盈利水平下降,1
公司订单充足,1
效益增长较好,1
综合竞争力不断提升,1
销售产品业态变化,1
加快与客户结算进度及回款速度,1
施工进度延滞,1
上海等部分分支机构甚至无法正常开展经营,1
国内动力市场收入比重持续上升,1
良好的发展环境,1
工艺优化,1
建筑等行业客户对公司产品需求下降,1
产品规模进一步扩大,1
上海市出现较为严重的新冠肺炎疫情,1
计提坏账准备,1
销售结构优化,1
产能释放效应显著,1
加强产供销协同和团队精细化运营,1
天然气采购成本比上年同期上升,1
候选人无法如期入职,1
地方财政收入下滑,1
公司资产负债率较高,1
降低交易成本,1
整体市场动销良好,1
公司销售收入和产品销售单价均有所下降,1
化工产品及磷矿石毛利率同比增长,1
给公司生猪养殖带来了双重压力,1
产能扩大,1
公司半导体材料业务产能规模持续提升,1
重点市场开拓,1
合作生态和服务网络的赋能,1
综合毛利率下降,1
细化订单利润测算,1
优化研发与销售团队,1
折旧摊销及财务费用较上年同期增加,1
人民币兑美元汇率升值,1
公司处置部分股票,1
主营业务的主要产品量价齐升,1
新项目产能释放,1
原材料成本维持高位,1
加大市场拓展力度,1
人工成本增加,1
上海市突发新冠疫情,1
原材料价格上升,1
公司盈利能力持续提升,1
公司所处的信息技术应用创新为代表的基础软件行业快速发展,1
高铁动车上线运行数量及平均每组行使里程均明显减少,1
公司从2021年开始全面聚焦于特殊应用电子和特殊应用材料领域的布局和发展,1
国内外复杂多变的经济环境,1
部分地区物流不畅,1
行业供应紧张状况得到一定缓解,1
太阳能组件销售量同比大幅增长,1
疫情影响的地区采取对人员进行封控,1
国内工程机械行业处于下行周期,1
原料价格上升,1
新项目的立项及开机中继续采取聚焦策略,1
收入的增长,1
公司提高了部分员工的薪酬待遇,1
长白山景区游客数量大幅下降,1
参投基金部分上市项目股价下跌,1
手机、笔记本订单增加,1
油价持续大幅波动,1
创新服务模式内容,1
不同产品结构占比变动,1
极度不利的外部环境,1
国际油价持续攀升,1
化工行业大环境,1
市场对锂盐的需求强劲,1
突出价值创造,1
汽车芯片短缺,1
公司产品售价虽呈现上涨趋势,1
我国结构力学性能测试行业国产替代需求持续稳定增长,1
燃煤价格居高不下,1
转让控股子公司名城地产（福清）有限公司股权确认大额投资收益,1
优化科研管理,1
国家“双碳”政策的宣贯,1
原材料本期采购成本较上年同期大幅上涨,1
公司餐厨废弃物资源化产品废弃食用油脂价格高涨,1
市场持续低迷,1
液晶基板玻璃各产线运行稳定,1
下游需求旺盛,1
公司株洲航电所在流域来水量较去年同期相比大幅增加,1
公司相关半导体设备研发成功后获得了客户的广泛认可,1
持有的金融资产因其公允价值降幅较大,1
疫情反复冲击,1
上海等地新冠疫情防控,1
减免租金,1
公司2021年半年度净利润增加,1
公司再生铝及铝灰渣综合利用项目工艺持续改进,1
公司产品销售订单和销售单价均同比下降,1
制造成本增加,1
意大利MCM公司部分订单交付延迟,1
传统红外截止滤光片竞争激烈,1
公司新产品、新工艺的研发投入加大,1
公司在新能源汽车、消费电子等业务领域经营质量进一步提升,1
疫情防控,1
公司预计来源于小米、华为等客户的收入规模有所下降,1
公司全资子公司金时印务在2022年湖南中烟进行的烟标项目招标中未继续中标,1
多元化供应链布局,1
产品销售收入减少,1
对取样耗材、核酸提取试剂等带来销售拉动,1
赖氨酸产能释放,1
铝、铜等大宗原材料及芯片价格较去年同期有所上涨,1
公司新材料业务板块的核心产品六氟磷酸锂市场需求旺盛,1
新机销量下滑严重,1
新建产能的释放,1
细化工作措施,1
行业及公司下游客户需求滞后,1
供应链原材料价格上涨,1
各氢能城市具体的实施细则落地,1
公司所在行业的下游电池生产商加大生产力度,1
主动抓住市场机遇销售产品,1
智芯业务国产化顺利推进,1
公司所持SES的股份被动稀释,1
超声业务收入稳健增长,1
公司主营产品牛磺酸生产经营情况良好,1
管理流程再造与改善,1
新订单的顺利执行,1
国际地缘风险持续升温,1
公司教研端课程深化改革成效显著,1
主营收入上升,1
优化经营效率,1
营业收入增加,1
市场和渠道的不断开拓,1
下游客户需求下降,1
市场回暖,1
增收降本,1
供应链模式创新,1
酒粮业务销量持续增加,1
新型冠状病毒疫情,1
调整销售政策,1
保障产品供应,1
低迷的市场需求,1
公司优化资产结构,1
